,Title,Metascore,tomatoMeter,tomatoUserMeter,scaledIMDb,Mean_Rating
11782,Malostranske humoresky,,,,62.45963676680696,62.45963676680696
35276,Pacific Paradise,,,,62.45963676680696,62.45963676680696
34658,Six-Gun Rhythm,,,,62.45963676680696,62.45963676680696
6987,Marie-Line,,,,62.45952982954404,62.45952982954404
11952,River Street,,,,62.459516757303646,62.459516757303646
5178,Gallito Ciego,,,,62.459516757303646,62.459516757303646
22606,Black Oak Conspiracy,,,,62.459516757303646,62.459516757303646
24118,Love Comes Quietly,,,,62.459516757303646,62.459516757303646
32810,Gypsy Wildcat,,,,62.459516757303646,62.459516757303646
34751,Artists and Models Abroad,,,,62.459516757303646,62.459516757303646
25820,Sor Ye-yé,,,,62.459516757303646,62.459516757303646
28687,Faustina,,,,62.459516757303646,62.459516757303646
22523,Team-Mates,,,,62.459203674818525,62.459203674818525
31129,Popeye Makes a Movie,,,,62.459203674818525,62.459203674818525
11104,Travis,,,,62.459203674818525,62.459203674818525
32015,Jack Armstrong,,,,62.459203674818525,62.459203674818525
19967,Pallet on the Floor,,,,62.45915874183947,62.45915874183947
32555,Hitchhike to Happiness,,,,62.45915874183947,62.45915874183947
3412,Camp: The Movie,,,,62.458940604885775,62.458940604885775
9304,Frank Finds Out,,,,62.458940604885775,62.458940604885775
9706,Paulo e Ana Luiza em Porto Alegre,,,,62.458940604885775,62.458940604885775
24807,Niklas och Figuren,,,,62.458940604885775,62.458940604885775
18598,Barefootin',,,,62.458940604885775,62.458940604885775
35279,Penny Wisdom,,,,62.45892756240178,62.45892756240178
2992,Teoriya zapoya,,,,62.45892756240178,62.45892756240178
31797,Scudda Hoo! Scudda Hay!,,,,62.45892756240178,62.45892756240178
14233,God's Dominion: In the Name of the Father,,,,62.45848001494835,62.45848001494835
14822,Deadly Love,,,,62.45847498945405,62.45847498945405
35332,Sing Me a Love Song,,,,62.45847498945405,62.45847498945405
14983,Kolejnosc uczuc,,,,62.45847498945405,62.45847498945405
32235,Desi Arnaz and His Orchestra,,,,62.45847498945405,62.45847498945405
17558,Gemini - The Twin Stars,,,,62.45838726888775,62.45838726888775
4915,Campo de sangre,,,,62.45838726888775,62.45838726888775
17126,Piccoli equivoci,,,,62.45838726888775,62.45838726888775
31977,The Gas House Kids in Hollywood,,,,62.45838726888775,62.45838726888775
2352,Journey Through the Night,,,,62.45838726888775,62.45838726888775
18541,To Market to Market,,,,62.45807948241503,62.45807948241503
8555,S.O.S.,,,,62.45802711590916,62.45802711590916
9849,Side Streets,,,,62.45802711590916,62.45802711590916
34688,That's Right - You're Wrong,,,,62.45802711590916,62.45802711590916
14464,Predskazaniye,,,,62.45802711590916,62.45802711590916
34994,"Rich Man, Poor Girl",,,,62.45772775178112,62.45772775178112
33508,Meet the Stewarts,,,,62.45772775178112,62.45772775178112
29364,House: After Five Years of Living,,,,62.4574347077212,62.4574347077212
5145,Flat 'n' Fluffy,,,,62.4574347077212,62.4574347077212
13869,Todos los hombres sois iguales,,,,62.4574347077212,62.4574347077212
29945,Ci troviamo in galleria,,,,62.4574347077212,62.4574347077212
23744,Hana to hebi: kyûkyoku nawa chôkyô,,,,62.4574347077212,62.4574347077212
36911,Hinter Schloss und Riegel,,,,62.4574347077212,62.4574347077212
18193,Havinck,,,,62.4574347077212,62.4574347077212
20091,Tricheurs,,,,62.457428778723134,62.457428778723134
35896,Living on Velvet,,,,62.457428778723134,62.457428778723134
21474,Asa Branca - Um Sonho Brasileiro,,,,62.45741905676714,62.45741905676714
27355,H.M.S. Bounty Sails Again!,,,,62.457107792562226,62.457107792562226
28077,Dona Xepa,,,,62.457107792562226,62.457107792562226
18704,Cudzoziemka,,,,62.457107792562226,62.457107792562226
4504,This Is Not a Love Story,,,,62.457107792562226,62.457107792562226
6726,Gitano,,,,62.457107792562226,62.457107792562226
36246,Hua jie shen nu,,,,62.456874321886666,62.456874321886666
13931,What Can I Do?,,,,62.456874321886666,62.456874321886666
23932,Abenteuer eines Sommers,,,,62.456874321886666,62.456874321886666
29497,Smoke Signal,,,,62.45683200275611,62.45683200275611
